Date,Hotel,Sales
2016-01-01,24,715910
2016-01-08,24,703500
2016-01-15,24,646767
2016-01-22,24,695197
2016-01-29,24,698461
2016-02-05,24,743555
2016-02-12,24,868397
2016-02-19,24,790069
2016-02-26,24,880028
2016-03-05,24,825478
2016-03-12,24,908714
2016-03-19,24,990089
2016-03-26,24,997266
2017-01-01,24,684969
2017-01-08,24,617419
2017-01-15,24,693432
2017-01-22,24,663876
2017-01-29,24,754125
2017-02-05,24,766308
2017-02-12,24,715979
2017-02-19,24,741739
2017-02-26,24,828754
2017-03-05,24,857272
2017-03-12,24,763109
2017-03-19,24,920260
2017-03-26,24,935974
2018-01-01,24,618252
2018-01-08,24,684474
2018-01-15,24,649348
2018-01-22,24,730126
2018-01-29,24,749385
2018-02-05,24,738993
2018-02-12,24,746310
2018-02-19,24,730986
2018-02-26,24,826280
2018-03-05,24,764907
2018-03-12,24,844865
2018-03-19,24,968971
2018-03-26,24,1022907
2019-01-01,24,647173
2019-01-08,24,632756
2019-01-15,24,618535
2019-01-22,24,648730
2019-01-29,24,683229
2019-02-05,24,734944
2019-02-12,24,772182
2019-02-19,24,799048
2019-02-26,24,845272
2019-03-05,24,853688
2019-03-12,24,849244
2019-03-19,24,921322
2019-03-26,24,946025
2020-01-01,24,710796
2020-01-08,24,707003
2020-01-15,24,682554
2020-01-22,24,706092
2020-01-29,24,744613
2020-02-05,24,837848
2020-02-12,24,1214703
2020-02-19,24,1010517
2020-02-26,24,982196
2020-03-05,24,684721
2020-03-12,24,810260
2020-03-19,24,837402
2020-03-26,24,897993
