Date,Hotel,Sales
2016-01-01,21,497433
2016-01-08,21,471576
2016-01-15,21,443125
2016-01-22,21,493939
2016-01-29,21,482563
2016-02-05,21,564957
2016-02-12,21,626379
2016-02-19,21,582190
2016-02-26,21,751147
2016-03-05,21,748373
2016-03-12,21,991893
2016-03-19,21,1177551
2016-03-26,21,1276415
2017-01-01,21,470224
2017-01-08,21,444669
2017-01-15,21,497735
2017-01-22,21,501392
2017-01-29,21,513146
2017-02-05,21,520695
2017-02-12,21,531158
2017-02-19,21,617990
2017-02-26,21,699655
2017-03-05,21,786421
2017-03-12,21,893187
2017-03-19,21,1144109
2017-03-26,21,1236036
2018-01-01,21,499591
2018-01-08,21,545155
2018-01-15,21,496050
2018-01-22,21,576744
2018-01-29,21,602415
2018-02-05,21,648306
2018-02-12,21,702337
2018-02-19,21,676337
2018-02-26,21,772065
2018-03-05,21,775800
2018-03-12,21,899987
2018-03-19,21,1188092
2018-03-26,21,1565507
