Date,Hotel,Sales
2016-01-01,29,1467641
2016-01-08,29,1414187
2016-01-15,29,1325184
2016-01-22,29,1517077
2016-01-29,29,1450086
2016-02-05,29,1592017
2016-02-12,29,1525169
2016-02-19,29,1332094
2016-02-26,29,1619712
2016-03-05,29,1517944
2016-03-12,29,1591297
2016-03-19,29,1573197
2016-03-26,29,1579986
2017-01-01,29,1536821
2017-01-08,29,1427598
2017-01-15,29,1535847
2017-01-22,29,1564978
2017-01-29,29,1734541
2017-02-05,29,1549583
2017-02-12,29,1558151
2017-02-19,29,1492893
2017-02-26,29,1754960
2017-03-05,29,1649055
2017-03-12,29,1392567
2017-03-19,29,1826679
2017-03-26,29,1705421
2018-01-01,29,1626460
2018-01-08,29,1587811
2018-01-15,29,1552235
2018-01-22,29,1797740
2018-01-29,29,1610393
2018-02-05,29,1846308
2018-02-12,29,1686848
2018-02-19,29,1596371
2018-02-26,29,1828628
2018-03-05,29,1803562
2018-03-12,29,1762329
2018-03-19,29,1915182
2018-03-26,29,1888454
2019-01-01,29,1613314
2019-01-08,29,1493526
2019-01-15,29,1565128
2019-01-22,29,1696700
2019-01-29,29,1685132
2019-02-05,29,1740313
2019-02-12,29,1728786
2019-02-19,29,1743201
2019-02-26,29,1736481
2019-03-05,29,1799021
2019-03-12,29,1633150
2019-03-19,29,1850568
2019-03-26,29,1928147
2020-01-01,29,1600719
2020-01-08,29,1658583
2020-01-15,29,1585676
2020-01-22,29,1788333
2020-01-29,29,1833068
2020-02-05,29,1836467
2020-02-12,29,1872622
2020-02-19,29,1585693
2020-02-26,29,1470857
2020-03-05,29,1150409
2020-03-12,29,1373297
2020-03-19,29,1294672
2020-03-26,29,1306386
