Date,Hotel,Sales
2016-01-01,27,984948
2016-01-08,27,965048
2016-01-15,27,898549
2016-01-22,27,937884
2016-01-29,27,915284
2016-02-05,27,934071
2016-02-12,27,958366
2016-02-19,27,825057
2016-02-26,27,1046801
2016-03-05,27,1023253
2016-03-12,27,980333
2016-03-19,27,979115
2016-03-26,27,1014415
2017-01-01,27,933976
2017-01-08,27,908250
2017-01-15,27,940034
2017-01-22,27,927556
2017-01-29,27,959752
2017-02-05,27,941493
2017-02-12,27,924770
2017-02-19,27,952707
2017-02-26,27,1097688
2017-03-05,27,1112090
2017-03-12,27,896223
2017-03-19,27,1063085
2017-03-26,27,1074397
2018-01-01,27,815639
2018-01-08,27,843482
2018-01-15,27,825035
2018-01-22,27,859698
2018-01-29,27,866311
2018-02-05,27,873726
2018-02-12,27,890828
2018-02-19,27,778435
2018-02-26,27,993013
2018-03-05,27,921073
2018-03-12,27,916143
2018-03-19,27,919902
2018-03-26,27,984828
2019-01-01,27,885625
2019-01-08,27,772373
2019-01-15,27,764629
2019-01-22,27,777371
2019-01-29,27,801389
2019-02-05,27,810991
2019-02-12,27,812505
2019-02-19,27,832135
2019-02-26,27,844947
2019-03-05,27,857277
2019-03-12,27,768849
2019-03-19,27,871871
2019-03-26,27,867429
2020-01-01,27,808838
2020-01-08,27,820429
2020-01-15,27,789897
2020-01-22,27,792542
2020-01-29,27,829617
2020-02-05,27,831767
2020-02-12,27,752312
2020-02-19,27,621963
2020-02-26,27,637421
2020-03-05,27,469620
2020-03-12,27,597657
2020-03-19,27,609806
2020-03-26,27,632739
