Date,Hotel,Sales
2016-01-01,25,1158284
2016-01-08,25,1104108
2016-01-15,25,1038355
2016-01-22,25,1131746
2016-01-29,25,1127289
2016-02-05,25,1203005
2016-02-12,25,1246071
2016-02-19,25,1064345
2016-02-26,25,1459933
2016-03-05,25,1494142
2016-03-12,25,1474721
2016-03-19,25,1451067
2016-03-26,25,1471593
2017-01-01,25,1153588
2017-01-08,25,1104040
2017-01-15,25,1176136
2017-01-22,25,1153278
2017-01-29,25,1253247
2017-02-05,25,1224764
2017-02-12,25,1234741
2017-02-19,25,1311997
2017-02-26,25,1507609
2017-03-05,25,1651036
2017-03-12,25,1342547
2017-03-19,25,1537820
2017-03-26,25,1551503
2018-01-01,25,1145525
2018-01-08,25,1214750
2018-01-15,25,1161545
2018-01-22,25,1299381
2018-01-29,25,1281830
2018-02-05,25,1331303
2018-02-12,25,1355057
2018-02-19,25,1197397
2018-02-26,25,1589444
2018-03-05,25,1678295
2018-03-12,25,1647816
2018-03-19,25,1613569
2018-03-26,25,1799289
2019-01-01,25,1285172
2019-01-08,25,1177398
2019-01-15,25,1209737
2019-01-22,25,1296121
2019-01-29,25,1344374
2019-02-05,25,1404241
2019-02-12,25,1449657
2019-02-19,25,1499308
2019-02-26,25,1746961
2019-03-05,25,1829048
2019-03-12,25,1571139
2019-03-19,25,1707469
2019-03-26,25,1719521
2020-01-01,25,1389244
2020-01-08,25,1403451
2020-01-15,25,1349631
2020-01-22,25,1469826
2020-01-29,25,1546969
2020-02-05,25,1549553
2020-02-12,25,1424911
2020-02-19,25,1173958
2020-02-26,25,1262832
2020-03-05,25,971022
2020-03-12,25,1268606
2020-03-19,25,1418149
2020-03-26,25,1532659
