Date,Hotel,Sales
2016-01-01,59,375196
2016-01-08,59,355897
2016-01-15,59,337961
2016-01-22,59,362579
2016-01-29,59,339167
2016-02-05,59,345329
2016-02-12,59,374084
2016-02-19,59,340063
2016-02-26,59,448747
2016-03-05,59,416171
2016-03-12,59,400812
2016-03-19,59,393667
2016-03-26,59,385650
2017-01-01,59,371500
2017-01-08,59,364836
2017-01-15,59,369250
2017-01-22,59,376974
2017-01-29,59,395627
2017-02-05,59,365375
2017-02-12,59,394411
2017-02-19,59,424192
2017-02-26,59,433295
2017-03-05,59,433708
2017-03-12,59,388168
2017-03-19,59,476261
2017-03-26,59,445930
2018-01-01,59,355009
2018-01-08,59,373043
2018-01-15,59,356722
2018-01-22,59,383904
2018-01-29,59,389836
2018-02-05,59,396962
2018-02-12,59,419347
2018-02-19,59,376429
2018-02-26,59,437907
2018-03-05,59,412575
2018-03-12,59,452467
2018-03-19,59,456981
2018-03-26,59,430155
2019-01-01,59,359469
2019-01-08,59,336194
2019-01-15,59,343227
2019-01-22,59,356901
2019-01-29,59,362601
2019-02-05,59,392625
2019-02-12,59,428773
2019-02-19,59,435282
2019-02-26,59,417782
2019-03-05,59,431429
2019-03-12,59,403426
2019-03-19,59,474773
2019-03-26,59,435854
2020-01-01,59,374665
2020-01-08,59,364613
2020-01-15,59,356311
2020-01-22,59,379030
2020-01-29,59,384428
2020-02-05,59,410342
2020-02-12,59,413344
2020-02-19,59,351975
2020-02-26,59,346356
2020-03-05,59,303074
2020-03-12,59,394526
2020-03-19,59,405928
2020-03-26,59,404948
