Date,Hotel,Sales
2016-01-01,28,339843
2016-01-08,28,360224
2016-01-15,28,386185
2016-01-22,28,453669
2016-01-29,28,482938
2016-02-05,28,571091
2016-02-12,28,740039
2016-02-19,28,719916
2016-02-26,28,1222861
2016-03-05,28,1490455
2016-03-12,28,2061291
2016-03-19,28,2349408
2016-03-26,28,2348492
2017-01-01,28,355643
2017-01-08,28,407703
2017-01-15,28,484789
2017-01-22,28,439207
2017-01-29,28,436460
2017-02-05,28,441284
2017-02-12,28,545734
2017-02-19,28,677604
2017-02-26,28,947416
2017-03-05,28,1670536
2017-03-12,28,1863890
2017-03-19,28,2293736
2017-03-26,28,2586202
2018-01-01,28,471226
2018-01-08,28,446576
2018-01-15,28,400558
2018-01-22,28,448153
2018-01-29,28,518538
2018-02-05,28,642141
2018-02-12,28,738885
2018-02-19,28,807816
2018-02-26,28,929099
2018-03-05,28,1270720
2018-03-12,28,1729558
2018-03-19,28,2477387
2018-03-26,28,3671528
2019-01-01,28,559396
2019-01-08,28,665125
2019-01-15,28,508759
2019-01-22,28,476198
2019-01-29,28,486605
2019-02-05,28,639312
2019-02-12,28,887292
2019-02-19,28,1084618
2019-02-26,28,1313587
2019-03-05,28,1689794
2019-03-12,28,1851790
2019-03-19,28,2306505
2019-03-26,28,2661885
2020-01-01,28,484374
2020-01-08,28,513652
2020-01-15,28,489591
2020-01-22,28,559651
2020-01-29,28,626858
2020-02-05,28,808582
2020-02-12,28,878747
2020-02-19,28,727018
2020-02-26,28,1058570
2020-03-05,28,1377040
2020-03-12,28,1898619
2020-03-19,28,2482222
2020-03-26,28,3074330
