Date,Hotel,Sales
2016-01-01,22,507554
2016-01-08,22,520236
2016-01-15,22,475559
2016-01-22,22,511246
2016-01-29,22,504016
2016-02-05,22,543242
2016-02-12,22,570814
2016-02-19,22,506150
2016-02-26,22,642712
2016-03-05,22,624598
2016-03-12,22,732833
2016-03-19,22,768197
2016-03-26,22,798464
2017-01-01,22,511698
2017-01-08,22,498022
2017-01-15,22,537849
2017-01-22,22,507536
2017-01-29,22,536482
2017-02-05,22,547242
2017-02-12,22,538380
2017-02-19,22,587729
2017-02-26,22,636593
2017-03-05,22,689208
2017-03-12,22,674060
2017-03-19,22,798322
2017-03-26,22,830536
2018-01-01,22,504512
2018-01-08,22,551910
2018-01-15,22,531896
2018-01-22,22,559697
2018-01-29,22,570693
2018-02-05,22,594771
2018-02-12,22,629435
2018-02-19,22,578349
2018-02-26,22,641142
2018-03-05,22,656776
2018-03-12,22,727497
2018-03-19,22,848482
2018-03-26,22,1018101
2019-01-01,22,568714
2019-01-08,22,531323
2019-01-15,22,516935
2019-01-22,22,537358
2019-01-29,22,562647
2019-02-05,22,627703
2019-02-12,22,660140
2019-02-19,22,676199
2019-02-26,22,730477
2019-03-05,22,754894
2019-03-12,22,731887
2019-03-19,22,861552
2019-03-26,22,893671
2020-01-01,22,573596
2020-01-08,22,603870
2020-01-15,22,563935
2020-01-22,22,572800
2020-01-29,22,616093
2020-02-05,22,654014
2020-02-12,22,773504
2020-02-19,22,637200
2020-02-26,22,633848
2020-03-05,22,517242
2020-03-12,22,646207
2020-03-19,22,695766
2020-03-26,22,755747
